id,name,parentId
0,Agdum,40
1,Aguiauan,40
2,Alimodias,40
3,Awang,40
4,Bacauan,40
5,Bacolod,40
6,Bagumbayan,40
7,Banbanan,40
8,Banga,40
9,Bangladan,40
10,Banuyao,40
11,Baraclayan,40
12,Bariri,40
13,Baybay Norte (Pob.),40
14,Baybay Sur (Pob.),40
15,Belen,40
16,Bolho (Pob.),40
17,Bolocaue,40
18,Buenavista Norte,40
19,Buenavista Sur,40
20,Bugtong Lumangan,40
21,Bugtong Naulid,40
22,Cabalaunan,40
23,Cabangcalan,40
24,Cabunotan,40
25,Cadoldolan,40
26,Cagbang,40
27,Caitib,40
28,Calagtangan,40
29,Calampitao,40
30,Cavite,40
31,Cawayanan,40
32,Cubay,40
33,Cubay Ubos,40
34,Dalije,40
35,Damilisan,40
36,Dawog,40
37,Diday,40
38,Dingle,40
39,Durog,40
40,Frantilla,40
41,Fundacion,40
42,Gines,40
43,Guibongan,40
44,Igbita,40
45,Igbugo,40
46,Igcabidio,40
47,Igcabito-On,40
48,Igcatambor,40
49,Igdalaquit,40
50,Igdulaca,40
51,Igpajo,40
52,Igpandan,40
53,Igpuro,40
54,Igpuro-Bariri,40
55,Igsoligue,40
56,Igtuba,40
57,Ilog-Ilog,40
58,Indag-An,40
59,Kirayan Norte,40
60,Kirayan Sur,40
61,Kirayan Tacas,40
62,La Consolacion,40
63,Lacadon,40
64,Lanutan,40
65,Lumangan,40
66,Mabayan,40
67,Maduyo,40
68,Malagyan,40
69,Mambatad,40
70,Maninila,40
71,Maricolcol,40
72,Maringyan,40
73,Mat-Y (Pob.),40
74,Matalngon,40
75,Naclub,40
76,Nam-O Norte,40
77,Nam-O Sur,40
78,Narat-An,40
79,Narorogan,40
80,Naulid,40
81,Olango,40
82,Ongyod,40
83,Onop,40
84,Oya-Oy,40
85,Oyungan,40
86,Palaca,40
87,Paro-On,40
88,Potrido,40
89,Pudpud,40
90,Pungtod Monteclaro,40
91,Pungtod Naulid,40
92,Sag-On,40
93,San Fernando,40
94,San Jose,40
95,San Rafael,40
96,Sapa (Miagao),40
97,Saring,40
98,Sibucao,40
99,Taal,40
100,Tabunacan,40
101,Tacas (Pob.),40
102,Tambong,40
103,Tan-Agan,40
104,Tatoy,40
105,Ticdalan,40
106,Tig-Amaga,40
107,Tig-Apog-Apog,40
108,Tigbagacay,40
109,Tiglawa,40
110,Tigmalapad,40
111,Tigmarabo,40
112,To-Og,40
113,Tugura-Ao,40
114,Tumagboc,40
115,Ubos Ilawod (Pob.),40
116,Ubos Ilaya (Pob.),40
117,Valencia,40
118,Wayang,40